classification,crystallizationMethod,crystallizationTempK,densityMatthews,densityPercentSol,experimentalTechnique,macromoleculeType,pdbxDetails,phValue,publicationYear,residueCount,resolution,structureId,structureMolecularWeight
DNA,VAPOR DIFFUSION,,2.3,46.55,X-RAY DIFFRACTION,DNA,"pH 6.50, VAPOR DIFFUSION",6.5,1992,8,1.64,118D,2427.6
HYDROLASE(O-GLYCOSYL),,,2.78,55.68,X-RAY DIFFRACTION,Protein,,,1993,164,1.8,118L,18871.54
DNA,"VAPOR DIFFUSION, SITTING DROP",277,1.98,37.95,X-RAY DIFFRACTION,DNA,"pH 6.50, VAPOR DIFFUSION, SITTING DROP, temperature 277.00K",6.5,1993,24,2.25,119D,7349.11
HYDROLASE(O-GLYCOSYL),,,2.83,56.54,X-RAY DIFFRACTION,Protein,,,1993,164,1.65,119L,18871.54
LIGASE,,,2.3,47,X-RAY DIFFRACTION,Protein,"PROTEIN CRYSTALLIZED FROM 45% SATURATED AMMONIUM SULFATE, 22 MM ASPARAGINE, 88 MM MGCL2, 10 %(W/V) GLYCEROL 5 MM 2-MERCAPTOETHANOL, 50 MM HEPES, PH7.5",7.5,1998,660,2.5,11AS,73530.97
HYDROLASE,,,2.48,50.36,X-RAY DIFFRACTION,Protein,pH 4.8,4.8,1998,248,2.06,11BA,28700.28
HYDROLASE,,,2.4,48.68,X-RAY DIFFRACTION,Protein,pH 4.8,4.8,1999,248,1.9,11BG,30391.41
TRANSFERASE,,,2.53,51.44,X-RAY DIFFRACTION,Protein,pH 6.4,6.4,1997,420,2.3,11GS,48366.94
HYDROLASE(O-GLYCOSYL),,,2.83,56.49,X-RAY DIFFRACTION,Protein,,,1993,164,1.8,120L,18871.54
DNA,VAPOR DIFFUSION,,2.4,48.83,X-RAY DIFFRACTION,DNA,"pH 6.50, VAPOR DIFFUSION",6.5,1993,24,2.2,121D,7755.27
ONCOGENE PROTEIN,,,1.99,38.32,X-RAY DIFFRACTION,Protein,,,1991,166,1.54,121P,19420.7
DNA,MICRODIALYSIS,277,2.34,47.49,X-RAY DIFFRACTION,DNA,"pH 7.50, MICRODIALYSIS, temperature 277.00K",7.5,1993,20,1.7,122D,6120.04
HYDROLASE(O-GLYCOSYL),,,2.78,55.74,X-RAY DIFFRACTION,Protein,,,1993,164,1.8,122L,18871.54
DNA,MICRODIALYSIS,277,2.34,47.49,X-RAY DIFFRACTION,DNA,"pH 7.50, MICRODIALYSIS, temperature 277.00K",7.5,1993,20,1.7,123D,6120.04
HYDROLASE(O-GLYCOSYL),,,2.78,55.68,X-RAY DIFFRACTION,Protein,,,1993,164,1.8,123L,18871.54
DNA-RNA HYBRID,,,,,SOLUTION NMR,DNA#RNA,,,1993,16,,124D,4953.18
TRANSCRIPTION REGULATION,,,,,SOLUTION NMR,,,,1992,0,,125D,5284.02
HYDROLASE(O-GLYCOSYL),,,2.78,55.78,X-RAY DIFFRACTION,Protein,,,1993,164,1.85,125L,18871.54
DNA,"VAPOR DIFFUSION, SITTING DROP",278,2.21,44.46,X-RAY DIFFRACTION,DNA,"VAPOR DIFFUSION, SITTING DROP, temperature 278.00K",,1993,20,2,126D,6090.01
HYDROLASE(O-GLYCOSYL),,,2.78,55.78,X-RAY DIFFRACTION,Protein,,,1993,164,1.8,126L,18857.51
DNA,VAPOR DIFFUSION,,2.31,46.72,X-RAY DIFFRACTION,DNA,"pH 6.00, VAPOR DIFFUSION",6,1992,24,2,127D,7751.28
HYDROLASE(O-GLYCOSYL),,,2.79,55.84,X-RAY DIFFRACTION,Protein,,,1993,164,1.85,127L,18892.96
DNA,VAPOR DIFFUSION,,2.4,48.81,X-RAY DIFFRACTION,DNA,"pH 6.00, VAPOR DIFFUSION",6,1992,24,2.5,128D,7807.39
HYDROLASE(O-GLYCOSYL),,,2.84,56.61,X-RAY DIFFRACTION,Protein,,,1993,164,1.7,128L,18822.05
DNA,VAPOR DIFFUSION,,2.39,48.54,X-RAY DIFFRACTION,DNA,"pH 6.00, VAPOR DIFFUSION",6,1992,24,2.25,129D,7779.33
HYDROLASE(O-GLYCOSYL),,,2.79,55.94,X-RAY DIFFRACTION,Protein,,,1993,164,1.7,129L,18885.56
LIGASE,,,2.3,47,X-RAY DIFFRACTION,Protein,"PROTEIN CRYSTALLIZED FROM 45% SATURATED AMMONIUM SULFATE, 22 MM ASPARAGINE, 88 MM MGCL2, 10 %(W/V) GLYCEROL 5 MM 2-MERCAPTOETHANOL, 50 MM HEPES, PH7.5 THEN SOAKED BY 50MM AMP AND 50 MM ASPARAGINE",7.5,1998,660,2.2,12AS,74225.41
LYASE(OXO-ACID),,,2.15,42.74,X-RAY DIFFRACTION,Protein,,,1991,260,2.4,12CA,29527.01
IMMUNOGLOBULIN,,,2.37,48,X-RAY DIFFRACTION,Protein,"23% PEG 4000 (W/V), 0.10 M SODIUM CITRATE, AND 0.2 M AMMONIUM ACETATE (PH 5.6). CRYSTALS (0.2 X 0.2 X 0.5 MM) WERE OBTAINED IN 4-6 WEEKS.",5.6,1999,870,1.9,12E8,94839.15
TRANSFERASE/TRANSFERASE INHIBITOR,,,2.5,50.78,X-RAY DIFFRACTION,Protein,pH 5.4,5.4,1999,420,2.1,12GS,48013.14
DNA,VAPOR DIFFUSION,,2.41,49.03,X-RAY DIFFRACTION,DNA,"pH 6.00, VAPOR DIFFUSION",6,1992,24,2.5,130D,7835.44
HYDROLASE(O-GLYCOSYL),,,2.79,55.95,X-RAY DIFFRACTION,Protein,,,1993,164,1.7,130L,18841.51
DNA,"VAPOR DIFFUSION, SITTING DROP",,1.64,25.16,X-RAY DIFFRACTION,DNA,"pH 7.00, VAPOR DIFFUSION, SITTING DROP",7,1994,12,1,131D,4071.07
HYDROLASE(O-GLYCOSYL),,,2.78,55.81,X-RAY DIFFRACTION,Protein,,,1993,164,1.7,131L,18841.51
DNA,,,,,SOLUTION NMR,DNA,,,1992,24,,132D,7326.78
HYDROLASE(O-GLYCOSYL),,,2.2,44.08,X-RAY DIFFRACTION,Protein,,,1993,129,1.8,132L,14494.44
DNA,VAPOR DIFFUSION,277,1.7,27.51,X-RAY DIFFRACTION,DNA,"pH 6.50, VAPOR DIFFUSION, temperature 277.00K",6.5,1993,12,1.8,133D,3648.46
HYDROLASE(O-GLYCOSYL),,,1.97,37.46,X-RAY DIFFRACTION,Protein,,,1993,130,1.77,133L,14701.65
DNA,,,,,SOLUTION NMR,DNA,,,1993,31,,134D,9552.12
HYDROLASE(O-GLYCOSYL),,,1.87,34.38,X-RAY DIFFRACTION,Protein,,,1993,130,1.77,134L,14692.61
DNA,,,,,SOLUTION NMR,DNA,,,1993,31,,135D,9552.12
HYDROLASE(O-GLYCOSYL),,,1.92,36.07,X-RAY DIFFRACTION,Protein,,,1993,129,1.3,135L,14228.11
DNA,,,,,SOLUTION NMR,DNA,,,1993,31,,136D,9552.12
DNA,"VAPOR DIFFUSION, HANGING DROP",,2.2,44.02,X-RAY DIFFRACTION,DNA,"pH 7.00, VAPOR DIFFUSION, HANGING DROP",7,1993,20,1.7,137D,6093.96
HYDROLASE(O-GLYCOSYL),,,2.35,47.72,X-RAY DIFFRACTION,Protein,,,1993,328,1.85,137L,37376.92
DNA,"VAPOR DIFFUSION, HANGING DROP",,2.87,57.15,X-RAY DIFFRACTION,DNA,"pH 7.00, VAPOR DIFFUSION, HANGING DROP",7,1993,10,1.8,138D,3046.98
HYDROLASE(O-GLYCOSYL),,,2.78,55.78,X-RAY DIFFRACTION,Protein,,,1994,164,1.7,138L,18809.47
DNA,,,,,SOLUTION NMR,DNA,,,1993,28,,139D,8737.78
HYDROLASE(O-GLYCOSYL),,,2.79,55.95,X-RAY DIFFRACTION,Protein,,,1994,164,1.7,139L,18876.64
TRANSFERASE/TRANSFERASE INHIBITOR,,,2.63,53.19,X-RAY DIFFRACTION,Protein,pH 5.4,5.4,1999,420,1.9,13GS,48752.68
KINASE,VAPOR DIFFUSION,,2.9,60.87,X-RAY DIFFRACTION,Protein,"VAPOR DIFFUSION BY MIXING EQUAL VOLUMES OF: PROTEIN: 6MG/ML PGK/25MM TRIS PH 7.5/10MM DTT/10MM MGADP/ 10MM 3- PGA WELL SOLUTION: 2.5 M SODIUM POTASSIUM PHOSPHATE PH 8.0, vapor diffusion",8,1997,1660,2.5,13PK,181547.91
DNA,,,,,SOLUTION NMR,DNA,,,1993,26,,140D,7943.2
HYDROLASE(O-GLYCOSYL),,,2.8,56.1,X-RAY DIFFRACTION,Protein,,,1993,164,2.1,140L,18839.56
DNA,,,,,SOLUTION NMR,DNA,,,1993,26,,141D,7943.2
HYDROLASE(O-GLYCOSYL),,,2.79,55.89,X-RAY DIFFRACTION,Protein,,,1993,164,2,141L,18887.6
DNA,,,,,SOLUTION NMR,DNA,,,1993,26,,142D,7943.2
HYDROLASE(O-GLYCOSYL),,,2.81,56.28,X-RAY DIFFRACTION,Protein,,,1993,164,2,142L,18765.41
DNA,,,,,SOLUTION NMR,DNA,,,1993,22,,143D,6983.5
HYDROLASE(O-GLYCOSYL),,,2.79,55.95,X-RAY DIFFRACTION,Protein,,,1993,164,2,143L,18825.53
DNA,VAPOR DIFFUSION,,2.42,49.25,X-RAY DIFFRACTION,DNA,"pH 7.00, VAPOR DIFFUSION",7,1993,24,2.25,144D,7844.45
HYDROLASE(O-GLYCOSYL),,,2.81,56.16,X-RAY DIFFRACTION,Protein,,,1993,164,2.1,144L,18954.69
DNA,VAPOR DIFFUSION,,,,X-RAY DIFFRACTION,DNA,"pH 7.00, VAPOR DIFFUSION",7,1993,24,1.25,145D,7113.1
HYDROLASE(O-GLYCOSYL),,,2.73,54.88,X-RAY DIFFRACTION,Protein,,,1993,164,2,145L,18917.8
DNA,,,,,SOLUTION NMR,DNA,,,1993,12,,146D,7114.44
HYDROLASE(O-GLYCOSYL),,,2.79,55.85,X-RAY DIFFRACTION,Protein,,,1993,164,1.85,146L,18986.75
HYDROLASE(O-GLYCOSYL),,,2.78,55.78,X-RAY DIFFRACTION,Protein,,,1993,164,2,147L,18790.08
DNA,,,,,SOLUTION NMR,DNA,,,1994,15,,148D,4743.05
HYDROLASE/HYDROLASE SUBSTRATE,,,2.17,43.25,X-RAY DIFFRACTION,Protein,,,1993,168,1.9,148L,19710.45
DNA,,,,,SOLUTION NMR,DNA,,,1994,21,,149D,6299.22
HYDROLASE(O-GLYCOSYL),,,2.56,51.89,X-RAY DIFFRACTION,Protein,,,1994,164,2.6,149L,18662.47
TRANSFERASE,,,2.64,53.43,X-RAY DIFFRACTION,Protein,pH 6.6,6.6,1998,420,2.8,14GS,47146.02
COMPLEX (NEURONE/PEPTIDE),,,2.95,56,X-RAY DIFFRACTION,,pH 6.2,6.2,1997,0,2.6,14PS,53930.74
DNA,"VAPOR DIFFUSION, SITTING DROP",277,2.05,39.91,X-RAY DIFFRACTION,DNA,"pH 6.50, VAPOR DIFFUSION, SITTING DROP, temperature 277.00K",6.5,1994,24,2.25,150D,7447.18
HYDROLASE(O-GLYCOSYL),,,2.69,54.24,X-RAY DIFFRACTION,Protein,,,1994,656,2.2,150L,74577.72
ELECTRON TRANSPORT                     2,,,2.06,40.29,X-RAY DIFFRACTION,,,,,0,,151C,9307.35
DNA,"VAPOR DIFFUSION, SITTING DROP",,2.82,56.41,X-RAY DIFFRACTION,DNA,"pH 6.50, VAPOR DIFFUSION, SITTING DROP",6.5,1994,6,1.4,151D,2352.74
HYDROLASE(O-GLYCOSYL),,,2.14,42.51,X-RAY DIFFRACTION,Protein,,,1994,164,2.2,151L,18627.27
DNA,"VAPOR DIFFUSION, SITTING DROP",,2.8,56.14,X-RAY DIFFRACTION,DNA,"pH 6.50, VAPOR DIFFUSION, SITTING DROP",6.5,1994,6,1.4,152D,2336.74
HYDROLASE(O-GLYCOSYL),,,2.08,40.98,X-RAY DIFFRACTION,Protein,,,1994,164,2,152L,18730.52
DNA,VAPOR DIFFUSION,277,2.21,44.46,X-RAY DIFFRACTION,DNA,"pH 7.00, VAPOR DIFFUSION, temperature 277.00K",7,1994,24,2.9,153D,7402.89
HYDROLASE(O-GLYCOSYL),,,2.5,50.88,X-RAY DIFFRACTION,Protein,,,1995,185,1.6,153L,20406.14
DNA,"VAPOR DIFFUSION, SITTING DROP",,2.96,58.39,X-RAY DIFFRACTION,DNA,"pH 7.00, VAPOR DIFFUSION, SITTING DROP",7,1994,8,2.5,154D,3210.3
HYDROLASE(O-GLYCOSYL),,,2.44,49.67,X-RAY DIFFRACTION,Protein,,,1995,185,1.6,154L,21069.76
ELECTRON TRANSPORT,,,1.94,36.55,X-RAY DIFFRACTION,Protein,,,1976,135,2.5,155C,14891.75
HYDROLASE(O-GLYCOSYL),,,2.79,55.96,X-RAY DIFFRACTION,Protein,,,1995,164,1.85,155L,18809.51
ELECTRON TRANSPORT,,,4.58,73.17,X-RAY DIFFRACTION,,,,1981,0,,156B,24032.67
DNA,,,,,SOLUTION NMR,DNA,,,1994,24,,156D,7610.92
HYDROLASE(O-GLYCOSYL),,,2.81,56.24,X-RAY DIFFRACTION,Protein,,,1995,164,1.8,156L,18739.39
RNA,"VAPOR DIFFUSION, SITTING DROP",,2.38,48.43,X-RAY DIFFRACTION,RNA,"pH 6.50, VAPOR DIFFUSION, SITTING DROP",6.5,1994,24,1.8,157D,7702.72
HYDROLASE(O-GLYCOSYL),,,2.84,56.71,X-RAY DIFFRACTION,Protein,,,1995,164,1.85,157L,18506.14
DNA,VAPOR DIFFUSION,278,2.29,46.33,X-RAY DIFFRACTION,DNA,"pH 7.50, VAPOR DIFFUSION, temperature 278.00K",7.5,1993,20,1.9,158D,6170.16
HYDROLASE(O-GLYCOSYL),,,2.8,56.11,X-RAY DIFFRACTION,Protein,,,1995,164,1.8,158L,18753.42
DNA,"VAPOR DIFFUSION, HANGING DROP",,2.37,48.19,X-RAY DIFFRACTION,DNA,"pH 7.00, VAPOR DIFFUSION, HANGING DROP",7,1994,8,1.8,159D,2874.35
HYDROLASE(O-GLYCOSYL),,,2.81,56.16,X-RAY DIFFRACTION,Protein,,,1995,164,1.8,159L,18712.37
CATALYTIC ANTIBODY,,,3.4,63,X-RAY DIFFRACTION,Protein,pH 5.5,5.5,,430,2.5,15C8,46360.24
DNA,"VAPOR DIFFUSION, HANGING DROP",,2.14,42.47,X-RAY DIFFRACTION,DNA,"pH 7.00, VAPOR DIFFUSION, HANGING DROP",7,1993,20,1.65,160D,6093.96
HYDROLASE(O-GLYCOSYL),,,2.79,55.94,X-RAY DIFFRACTION,Protein,,,1995,164,1.8,160L,18795.42
DNA-RNA HYBRID,"VAPOR DIFFUSION, HANGING DROP",,2.36,47.87,X-RAY DIFFRACTION,DNA/RNA Hybrid,"pH 7.00, VAPOR DIFFUSION, HANGING DROP",7,1994,20,1.9,161D,6125.96
HYDROLASE(O-GLYCOSYL),,,2.78,55.77,X-RAY DIFFRACTION,Protein,,,1995,164,1.7,161L,18812.51
HYDROLASE(O-GLYCOSYL),,,2.79,55.98,X-RAY DIFFRACTION,Protein,,,1995,164,1.8,162L,18798.48
HYDROLASE(O-GLYCOSYL),,,2.79,55.94,X-RAY DIFFRACTION,Protein,,,1995,164,1.8,163L,18798.48
HYDROLASE(O-GLYCOSYL),,,2.8,56,X-RAY DIFFRACTION,Protein,,,1995,164,1.8,164L,18769.42
DNA-RNA HYBRID,"VAPOR DIFFUSION, SITTING DROP",277,2.13,42.26,X-RAY DIFFRACTION,RNA,"pH 6.30, VAPOR DIFFUSION, SITTING DROP, temperature 277.00K",6.3,1994,18,1.55,165D,6595.56
HYDROLASE(O-GLYCOSYL),,,2.81,56.17,X-RAY DIFFRACTION,Protein,,,1995,164,1.75,165L,18839.54
DNA,"VAPOR DIFFUSION, SITTING DROP",286,2.26,45.54,X-RAY DIFFRACTION,DNA,"pH 7.00, VAPOR DIFFUSION, SITTING DROP, temperature 286.00K",7,1994,24,2.2,166D,7669.18
HYDROLASE(O-GLYCOSYL),,,2.79,55.93,X-RAY DIFFRACTION,Protein,,,1995,164,1.75,166L,18825.51
DNA,"VAPOR DIFFUSION, SITTING DROP",277,2.51,50.99,X-RAY DIFFRACTION,DNA,"VAPOR DIFFUSION, SITTING DROP, temperature 277.00K",,1994,20,2.3,167D,6088.03
HYDROLASE (O-GLYCOSYL),,,2.32,46.98,X-RAY DIFFRACTION,Protein,,,1995,328,2.2,167L,37260.77
DNA-RNA HYBRID,"VAPOR DIFFUSION, SITTING DROP",,2.22,44.53,X-RAY DIFFRACTION,DNA/RNA Hybrid,"pH 6.50, VAPOR DIFFUSION, SITTING DROP",6.5,1994,20,2,168D,6150.06
HYDROLASE (O-GLYCOSYL),,,3.08,60.09,X-RAY DIFFRACTION,Protein,,,1995,820,2.9,168L,91865.7
DNA-RNA HYBRID,,,,,SOLUTION NMR,DNA#DNA/RNA Hybrid,,,1994,20,,169D,6138.01
HYDROLASE (O-GLYCOSYL),,,3.37,63.52,X-RAY DIFFRACTION,Protein,,,1995,820,3,169L,90904.84
TRANSFERASE,,,2.53,51.42,X-RAY DIFFRACTION,Protein,pH 5.8,5.8,1998,420,1.9,16GS,47242.08
KINASE,VAPOR DIFFUSION,,2.64,53,X-RAY DIFFRACTION,Protein,"VAPOR DIFFUSION BY MIXING, pH 7.7, vapor diffusion",7.7,1998,415,1.6,16PK,45571.57
TRANSCRIPTIONAL REGULATORY PROTEIN,,,2.32,47.01,X-RAY DIFFRACTION,Protein,pH 4.0,4,1999,366,2.1,16VP,41672.35
DNA,,,,,SOLUTION NMR,DNA/RNA Hybrid,,,1994,24,,170D,7358.78
HYDROLASE (O-GLYCOSYL),,,3.18,61.3,X-RAY DIFFRACTION,Protein,,,1995,164,2.6,170L,18740.53
DNA,,,,,SOLUTION NMR,DNA,,,1994,24,,171D,7326.78
HYDROLASE (O-GLYCOSYL),,,2.49,50.67,X-RAY DIFFRACTION,Protein,,,1995,164,2.5,171L,18570.33
DNA,VAPOR DIFFUSION,277,2.63,53.22,X-RAY DIFFRACTION,DNA,"pH 7.00, VAPOR DIFFUSION, temperature 277.00K",7,1994,32,3,172D,9706.47
HYDROLASE (O-GLYCOSYL),,,2.11,41.75,X-RAY DIFFRACTION,Protein,,,1995,164,1.9,172L,18730.58
DNA/ANTIBIOTIC,,,2.88,57.36,X-RAY DIFFRACTION,Protein#DNA,"PH 7.00, VAPOR DIFFUSION, TEMPERATURE 277.00K",7,1994,38,3,173D,7372.13
HYDROLASE (O-GLYCOSYL),,,2.39,48.52,X-RAY DIFFRACTION,Protein,,,1995,164,1.7,173L,18790.45
HYDROLASE (O-GLYCOSYL),,,2.74,55.07,X-RAY DIFFRACTION,Protein,,,1995,328,2.3,174L,36710.12
DNA,,,,,SOLUTION NMR,DNA,,,1994,20,,175D,6188.09
HYDROLASE (O-GLYCOSYL),,,2.46,49.94,X-RAY DIFFRACTION,Protein,,,1995,328,2.1,175L,37084.49
PEPTIDE NUCLEIC ACID/RNA,,,,,SOLUTION NMR,DNA#RNA,,,1994,12,,176D,3463.8
HYDROLASE (O-GLYCOSYL),,,2.44,49.56,X-RAY DIFFRACTION,Protein,,,1995,328,2.2,176L,37241.91
DNA,,,,,SOLUTION NMR,DNA,,,1994,31,,177D,9407.04
HYDROLASE,,,2.92,57.83,X-RAY DIFFRACTION,Protein,pH 8.6,8.6,1995,164,2.5,177L,18562.37
DNA,"VAPOR DIFFUSION, SITTING DROP",277,2.2,43.99,X-RAY DIFFRACTION,DNA,"pH 6.50, VAPOR DIFFUSION, SITTING DROP, temperature 277.00K",6.5,1994,24,2.5,178D,7406.83
HYDROLASE,,,3.71,66.87,X-RAY DIFFRACTION,Protein,,,1995,164,2.71,178L,18633.27
DNA,,,,,SOLUTION NMR,DNA,,,1994,8,,179D,2381.66
HYDROLASE,,,3.55,65.32,X-RAY DIFFRACTION,,,,1995,164,2.7,179L,18562.37
TRANSFERASE,,,2.62,53.09,X-RAY DIFFRACTION,Protein,pH 6.6,6.6,,420,1.9,17GS,48010.02
RNA,,,,,SOLUTION NMR,RNA,,,1998,21,,17RA,6729.04
